Country,ISO-code,GDP per capita,Meat consumption
Afghanistan,AFG,2182,17.3
Algeria,DZA,16091,18.3
Angola,AGO,6763,19
Antigua and Barbuda,ATG,30593,56
Argentina,ARG,19971,79.7
Armenia,ARM,11845,27.7
Australia,AUS,54799,108.2
Austria,AUT,55171,94.1
Azerbaijan,AZE,19156,15.9
Bahrain,BHR,51991,70.7
Bangladesh,BGD,5453,3.1
Barbados,BRB,19364,88.7
Belarus,BLR,21224,58.6
Belgium,BEL,50904,86.1
Belize,BLZ,8791,74.7
Benin,BEN,3648,16.2
Bhutan,BTN,10627,3
Bolivia,BOL,8525,50
Bosnia and Herzegovina,BIH,14894,21.4
Botswana,BWA,19388,27.3
Brazil,BRA,17106,82.4
Bulgaria,BGR,26034,69.4
Burkina Faso,BFA,2181,11.2
Burundi,BDI,724,3.5
Cambodia,KHM,5004,13.9
Cameroon,CMR,4099,14.4
Canada,CAN,52144,108.1
Cape Verde,CPV,8716,26.3
Central African Republic,CAF,864,28
Chad,TCD,2603,14.3
Chile,CHL,27150,66.4
China,CHN,20984,52.4
Colombia,COL,16265,33.9
Comoros,COM,2898,7.6
Costa Rica,CRI,18651,40.4
Croatia,HRV,29207,49.9
Cuba,CUB,8822,32.2
Cyprus,CYP,42956,131.3
Czech Republic,CZE,40585,77.3
Democratic Republic of the Congo,COD,873,4.8
Denmark,DNK,55675,145.9
Djibouti,DJI,5855,17.1
Dominica,DMA,12851,67.1
Dominican Republic,DOM,20625,37.8
East Timor,TLS,5321,41.3
Ecuador,ECU,11866,45
Egypt,EGY,14800,22.5
El Salvador,SLV,8593,21.4
Eritrea,ERI,1103,7.7
Estonia,EST,37606,67.4
Ethiopia,ETH,2702,7.9
Fiji,FJI,12689,39.1
Finland,FIN,49548,67.4
France,FRA,48640,101.1
Gabon,GAB,19839,46
Georgia,GEO,13200,26
Germany,DEU,55306,82.1
Ghana,GHA,7343,9.9
Greece,GRC,31616,78.7
Greenland,GRL,48182,63.4
Grenada,GRD,17434,97
Guatemala,GTM,9009,23.8
Guinea,GIN,2574,6.5
Guinea,GIN,2113,13
Guyana,GUY,17163,31.8
Haiti,HTI,1916,15.3
Honduras,HND,5600,24.7
Hungary,HUN,35941,100.7
Iceland,ISL,56974,84.8
India,IND,9027,5.2
Indonesia,IDN,14841,8.3
Iran,IRN,17832,23.1
Iraq,IRQ,18755,18.2
Ireland,IRL,86988,106.3
Israel,ISR,40337,97.1
Italy,ITA,41582,90.4
Ivory Coast,CIV,4754,11.3
Jamaica,JAM,9932,56.8
Japan,JPN,46827,45.9
Jordan,JOR,9939,29.8
Kazakhstan,KAZ,30178,44.8
Kenya,KEN,4078,14.3
Kiribati,KIR,2193,32.1
Kuwait,KWT,67891,60.2
Kyrgyzstan,KGZ,4193,39
Laos,LAO,8684,15
Latvia,LVA,32987,45.7
Lebanon,LBN,15599,63.1
Lesotho,LSO,3655,15.4
Liberia,LBR,1428,7.9
Libya,LBY,9446,28.6
Lithuania,LTU,38751,49.5
Luxembourg,LUX,112045,141.7
Madagascar,MDG,1776,17.6
Malawi,MWI,1292,5.1
Malaysia,MYS,34567,50.9
Maldives,MDV,24796,16.6
Mali,MLI,2569,19
Malta,MLT,49589,86.9
Mauritania,MRT,5158,29.9
Mauritius,MUS,26461,39.6
Mexico,MEX,21363,58.6
Moldova,MDA,8161,22.7
Mongolia,MNG,15089,108.8
Morocco,MAR,9667,20.6
Mozambique,MOZ,1372,5.6
Myanmar,MMR,7220,10.7
Namibia,NAM,11451,34
Nepal,NPL,3550,10
Netherlands,NLD,60299,89.3
New Zealand,NZL,42045,142.1
Nicaragua,NIC,5297,14.9
Niger,NER,1152,11.2
Nigeria,NGA,6172,8.6
North Macedonia,MKD,17378,35.4
Norway,NOR,79638,61.7
Oman,OMN,48593,49.8
Pakistan,PAK,6016,12.3
Panama,PAN,28456,54.5
Papua New Guinea,PNG,4081,73
Paraguay,PRY,13213,70.3
Peru,PER,15399,34.5
Philippines,PHL,10094,31.1
Poland,POL,35651,78.1
Portugal,PRT,34936,91.1
Republic of the Congo,COG,7336,13.3
Romania,ROU,29555,54.5
Russia,RUS,30820,51
Rwanda,RWA,2642,4.4
Saint Kitts and Nevis,KNA,31950,99.3
Saint Lucia,LCA,15159,124.1
Saint Vincent and the Grenadines,VCT,12983,79.1
Samoa,WSM,6493,82.6
Saudi Arabia,SAU,56912,44.6
Senegal,SEN,4079,17.7
Seychelles,SYC,33118,51.1
Sierra Leone,SLE,1765,6.1
Singapore,SGP,105689,71.1
Slovakia,SVK,38321,67.4
Slovenia,SVN,40344,88
Solomon Islands,SLB,2363,9.7
Somalia,SOM,314.5,9.5
South Africa,ZAF,13965,39
South Korea,KOR,46452,48
South Sudan,SSD,1715,13.1
Spain,ESP,43007,118.6
Sri Lanka,LKA,14509,6.6
Sudan,SDN,3986,21
Suriname,SUR,16044,40.3
Sweden,SWE,55989,76.1
Switzerland,CHE,67558,72.9
Tajikistan,TJK,3751,8.7
Tanzania,TZA,3652,10
Thailand,THA,21361,27.9
The Bahamas,BHS,33432,123.6
The Gambia,GMB,2892,5.2
Togo,TGO,1913,8.5
Trinidad and Tobago,TTO,33713,57.8
Tunisia,TUN,13093,25.5
Turkey,TUR,29327,19.3
Turkmenistan,TKM,21855,41.7
Uganda,UGA,2753,11.7
Ukraine,UKR,10130,32.3
United Arab Emirates,ARE,70441,74.4
United Kingdom,GBR,48169,79.6
United States,USA,67426,124.8
Uruguay,URY,24516,98.6
Uzbekistan,UZB,9595,20.7
Vanuatu,VUT,3039,32.6
Venezuela,VEN,16055,56.6
Vietnam,VNM,8677,28.6
Yemen,YEM,2312,14.7
Zambia,ZMB,4174,11.9
Zimbabwe,ZWE,2778,15.2
